title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency is not real.",,-4.931126118,-1.93115449,-0.18115446,-11.18115425,-6.931154251,-6.181154251,-12.68115425,-16.68115425
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency or perceived emergency is not actually real.",,-4.67398119,-1.923980594,-0.173980609,-13.67398071,-9.673980713,-9.423980713,-13.17398071,-17.42398071
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the emergency or perceived emergency is not real.",,-5.612216949,-2.362217188,-0.112217188,-11.61221695,-6.862216949,-5.862216949,-13.11221695,-16.86221695
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the first responder is a friend of the policyholder.",,-4.86106348,-2.36106348,-0.111063384,-12.861063,-9.361063004,-8.361063004,-13.611063,-17.736063
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the damage is caused by a forced entry made by first responders due to an emergency involving the policyholder.",,-4.671926022,-1.921925783,-0.171925843,-13.42192554,-9.921925545,-9.421925545,-13.42192554,-17.9219265
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes

The key takeaway is that ""Emergency Damages"" coverage applies even when the first responders are firefighters, not just police officers.",,-4.672355652,-1.92235589,-0.172355875,-13.67235565,-10.17235565,-9.422355652,-13.67235565,-18.04735565
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes

**Explanation:**

The insurance policy covers damage from ""Escape of Oil,"" which is defined as ""oil leaking from a fixed oil-fired heating installation."" In this case, the oil spilled was not from a fixed oil-fired heating installation, therefore, Madison is not covered by the insurance.",,-5.207865715,-2.172482491,-0.172482491,-9.922482491,-5.172482491,-3.922482491,-12.17248249,-15.29748249
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes

**Explanation:**

The insurance policy covers damage from ""Escape of Oil,"" which is defined as ""oil leaking from a fixed oil-fired heating installation."" The oil is leaking from the heater, so the damage is covered by the insurance.

However, the word ""leaking"" is a very strong word",,-5.115938187,-2.146543503,-0.146543548,-11.1465435,-7.146543503,-5.896543503,-12.5215435,-15.8965435
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes

**Explanation:**

The term ""leaking"" is a very evocative word that carries a strong connotation of something that is flowing uncontrollably. In ordinary usage, the word ""leaking"" is often used to describe something that is dripping or flowing slowly, often due to a crack or hole. However, in",,-4.680065632,-1.930064917,-0.180064902,-10.55506516,-6.680064678,-5.930064678,-12.93006516,-15.93006516
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes

**Explanation:**

The definition of ""Escape of Oil"" specifically states ""from a fixed oil-fired heating installation."" The portable oil lamp is not a fixed installation. Therefore, the oil leak does not meet the definition of ""Escape of Oil,"" and Mariam is not covered by her insurance.",,-4.694906235,-1.944906354,-0.194906369,-10.81990623,-6.944906235,-5.694906235,-13.06990623,-16.56990623
