title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The insurance company's policy is ambiguous because it does not specify whether the",,-4.417798996,-2.156600714,-1.640975714,-4.828475952,-2.375350714,-2.281600714,-7.078475952,-9.156600952
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The ambiguity is resolved by the ""ordinary meaning"" of the words ""perceived emergency."" The",,-4.410822392,-2.035822392,-1.488947392,-5.309259892,-2.645197392,-2.442072392,-7.035822392,-8.942071915
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in favor of Joanne. The ambiguity is resolved by the insurance company's own rules, which state that ""Emergency Damages",,-4.413466454,-2.093153715,-1.546278715,-5.015028954,-2.468153715,-2.265028715,-7.038466454,-8.850966454
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, but the ambiguity is resolved by the reasonable expectations of the insured. Salma's reasonable expectations are that her insurance policy will cover the costs of damage caused by a burg",,-4.659963608,-2.122583389,-1.60695827,-5.403833389,-2.653833389,-2.325708389,-7.052270889,-9.106958389
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The insurance company's policy is ambiguous, and the ambiguity is resolved in Salma's favor. The insurance company's policy is ambiguous because it does not specify whether ""emergency"" means ""emergency involving the policyholder"" or ""emergency",,-4.7380867,-2.2458992,-1.71464932,-5.3943367,-2.6677742,-2.3552742,-7.0115242,-8.9880867
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The insurance company's policy is written in a way that makes it clear that the company will cover the cost of damage caused by a forced entry by a first responder. The policy is written in a",,-4.663293839,-2.1242311,-1.5929811,-5.585168839,-2.7804811,-2.4836061,-7.061731339,-9.163293839
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The insurance company's policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is written in a way that covers the damage Madison caused. The policy is",,-4.027151585,-1.958001494,-1.848626494,-4.715814114,-2.489251614,-2.817376614,-6.778314114,-8.411126137
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The insurance company's policy is written in a way that covers the damage. The policy defines ""leaking"" as ""oil leaking from a fixed oil-fired heating installation."" The policy does not define ""fixed oil-fired heating installation,"" but the insurance company's agent explains that this means a heater that is permanently installed",,-4.134255886,-1.954568505,-1.688943505,-4.931130886,-2.595193386,-2.735818386,-6.923318386,-8.532693863
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The insurance company's policy is written in a way that covers the damage. The policy is written in a way that covers the damage because the policy is written in a way that covers the damage. The policy is written in a way that covers the damage because the policy is written in a way that covers the damage",,-4.018411636,-1.971536875,-1.659036875,-4.784036636,-2.627786875,-2.690286875,-6.940286636,-8.721536636
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes.
The insurance company's policy is ambiguous, but the ambiguity is not in the words ""oil"" and ""heating installation."" The ambiguity is in the phrase ""fixed oil-fired heating installation."" The phrase is ambiguous because it is not clear whether ""fixed"" modifies ""oil"" or ""heating installation."" The",,-4.501367092,-2.229029179,-1.494654059,-4.932154179,-2.604029179,-2.135279179,-7.111841679,-8.682153702
