title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no, no.,,-5.144143105,-2.682398796,-1.516871452,-4.009547234,-2.033961296,-1.348658562,-7.331812859,-9.167750359
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes, yes.,,-5.06314373,-2.597062111,-1.208268285,-4.436905861,-2.539444923,-1.687394261,-7.147843361,-8.796280861
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes, yes.,,-5.161005974,-2.457880974,-1.240595818,-4.409052849,-2.283076286,-1.607783318,-7.141474724,-8.996943474
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes, yes.,,-5.167816162,-2.510961771,-1.673071146,-4.15842247,-2.313696146,-1.788793802,-6.88889122,-8.55685997
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes, yes.,,-4.64703846,-2.419499636,-1.634831667,-3.965398073,-2.401921511,-1.938054323,-6.97125721,-8.36969471
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes, yes.,,-5.213346958,-2.441862583,-1.57003653,-4.264128208,-2.362761021,-1.861784577,-6.863737583,-8.54733181
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, yes," yes. The oil was leaking from a fixed oil-fired heating installation, and the damage was caused by the oil. The insurance company would have to pay for the damage.
The insurance company might argue that the oil was not leaking from the heating installation, but rather from Madison's hands. But the insurance company would be wrong",,-3.901543617,-2.390902758,-2.001986742,-3.525180101,-2.065463305,-2.002230883,-6.947054863,-9.146273613
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes, yes.,,-4.308059692,-2.427200317,-1.825393796,-3.899856567,-2.143997192,-1.980667233,-6.849075317,-8.841262817
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes, yes.,,-3.919383526,-2.33881712,-1.820750833,-3.577586651,-2.157664776,-2.040477276,-6.981883526,-9.227977753
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no. The lamp is not a ""heating installation."" The lamp is a ""lamp."" The lamp is not a ""heating installation."" The lamp is not a ""heating installation."" The lamp is not a ""heating installation."" The lamp is not a ""heating installation."" The lamp is not a",,-4.938437462,-2.459595203,-1.943481922,-4.333618641,-1.901489735,-1.792603016,-7.179321766,-8.734008789
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a fixed oil-fired heater in her living room. One night, the heater cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes, yes.,,-4.927187443,-2.352968693,-1.727968693,-4.501406193,-1.955996037,-1.84417963,-7.194765568,-8.585390091
