title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no.
The term ""perceived emergency"" is ambiguous. It could mean that the police perceived an emergency, or that the policyholder perceived an emergency. The term is ambiguous because it",,-3.625169516,-2.236968517,-1.861968637,-3.080718517,-1.768218637,-1.549468637,-6.830718517,-9.080718994
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, no," no.
The term ""perceived emergency"" is ambiguous. It could mean that the police perceived an emergency, or that Joanne perceived an emergency. The term is ambiguous because it could be understood in either way.
",,-3.538964748,-2.16366148,-1.77303648,-3.12459898,-1.82772398,-1.60116148,-6.79256773,-9.024990082
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, no," no.
The term ""perceived emergency"" is ambiguous. It could mean that the police believed that an emergency was occurring, or that Joanne believed that an emergency was occurring. The term ""perceived emergency""",,-3.376954556,-2.126954556,-1.908204436,-2.876954556,-1.689454436,-1.689454436,-6.689454556,-8.689454079
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no.
The term ""first responder"" is not defined in the policy, but it is a term of art in the insurance industry. The term is used to refer to a person who is authorized to",,-3.582377911,-2.207377911,-1.840190411,-2.887065411,-1.777690411,-1.527690411,-7.074565411,-9.402690887
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, no," no.
The term ""first responder"" is not defined in the policy, but it is a term of art in the insurance industry. The term is used to refer to a person who is the first to arrive at the scene",,-3.572681665,-2.182056665,-1.744556665,-3.025806665,-1.900806665,-1.541431665,-7.182056427,-9.510181427
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, no," no.
The term ""first responder"" is not defined in the policy. However, the term ""first responder"" is commonly understood to refer to a person who is the first to arrive",,-3.489270687,-2.176770687,-1.801770687,-2.926770687,-1.848645687,-1.614270687,-7.051770687,-9.301771164
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no.
The term ""leaking"" is not defined in the policy, but it is a word that is used in everyday speech. The ordinary meaning of ""leaking"" is ""to flow or seep out in small amounts.""
The policy does not cover damage from ""leaking"" oil, but it does",,-3.376194,-2.128984451,-2.082109451,-3.066484451,-1.988359451,-1.972734451,-6.816484451,-9.628984451
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, yes," yes.
The term ""leaking"" is not defined in the policy, so we must look to the ordinary meaning of the term.
The ordinary meaning of ""leaking"" is ""to flow or escape in small quantities through a crack or opening.""
The policy covers ""oil leaking from a fixed oil-",,-3.226872206,-2.06153059,-1.905280471,-3.20215559,-2.12403059,-2.10840559,-6.79590559,-9.381842613
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, yes," yes.
The term ""leaking"" is not defined in the policy, so we must look to the ordinary meaning of the term.
The ordinary meaning of ""leaking"" is ""to flow or escape in small quantities through a crack or opening.""
The ordinary meaning of ""leaking"" is not """,,-3.114040852,-1.997377038,-1.934877038,-2.934876919,-2.075501919,-2.184876919,-6.606751919,-8.841127396
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, No," No.
The term ""heating installation"" is ambiguous. It could refer to a fixed heating installation, or it could refer to a portable heating installation.
The term ""heating installation"" is ambiguous. It could refer to a fixed heating installation, or it could refer to a portable heating installation.
The term """,,-2.841899395,-2.029399395,-2.091899395,-2.498149395,-1.810649395,-1.935649395,-6.716899395,-9.279399872
