title,prompt_type,prompt,version,output,output_text,cum_logprob,YES_probs,Yes_probs,yes_probs,NO_probs,No_probs,no_probs,A_probs,B_probs
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and knows it is just her two dogs playing together. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from her dogs; Joanne just wanted help subduing the dogs. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no.
Joanne's insurance company, however, does cover the dogs' owners, who are not Joanne's neighbors. The insurance company also covers the dogs' owners' pets, which are not Joanne's pets.
Joanne's insurance company, however, does cover the dogs' owners' pets,",,-5.43344593,-2.965106964,-2.277606964,-4.715106964,-2.215106964,-1.965106964,-5.465106964,-8.527606964
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Joanne heard were indeed from a burglar, whom the police promptly arrest. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-5.500540733,-3.063040972,-2.313040972,-4.813040733,-2.250540972,-1.938040972,-5.438040733,-8.500540733
Emergency Damages I,Yes/No,"Joanne's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency or perceived emergency involving the policyholder.""
Late one night, Joanne hears loud crashing noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she frantically calls the police, who make a forced entry into her home to assess the situation. It turns out that Joanne is experiencing mild paranoia after having recently watched a movie that involved a home burglary. Joanne files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""perceived emergency"" would be understood by ordinary speakers of English, is Joanne covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, no," no.
Joanne's insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the ""perceived emergency"" caused by the forced entry.
The policyholder is not required to pay for",,-5.508834839,-3.0713346,-2.2588346,-4.883834839,-2.2588346,-1.9463346,-5.446334839,-8.571334839
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an accountant, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered, no," no.
The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder."" The insurance company's response to Salma's claim is that she is not covered by the policy because she is a ""first responder.""
The insurance company's",,-5.617640972,-3.123211861,-2.123211861,-5.435711861,-2.623211861,-1.810711861,-5.560711861,-8.623211861
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls the police, who make a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom the police promptly arrest. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered, no," no.
The law is clear: ""The term 'first responder' means a person who is present at the scene of an emergency and who is able to assist the responding officer in the performance of his or her duties.""
The law also states that ""the term 'first responder' does not include a",,-5.564230919,-3.12673068,-2.18923068,-5.314230919,-2.56423068,-1.87673068,-5.501730919,-8.564230919
Emergency Damages II,Yes/No,"Salma's home insurance covers ""Emergency Damages,"" defined as ""loss or damage to the contents of the policyholder's home caused when first responders force an entry into the policyholder's home because of an emergency involving the policyholder.""
Late one night, Salma hears noises coming from another room in her home and believes that a burglar has broken in. From her bedroom, she calls her friend Sam, an off-duty firefighter, who makes a forced entry into her home to assess the situation. It turns out that the noises Salma heard were indeed from a burglar, whom Sam manages to chase away. Salma files a claim with her insurance company for the damage caused by the forced entry.
Considering just how ""first responder"" would be understood by ordinary speakers of English, is Salma covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial, no," no.
The insurance company, however, does cover the damage caused by the forced entry. The policyholder is not required to pay for the damage, but the policyholder is required to pay for the cost of the insurance.
The insurance company's policy is not a ""first responder"" policy, but rather",,-5.649742126,-3.149742365,-2.149742365,-5.524742126,-2.587242365,-1.837242365,-5.524742126,-8.587242126
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is carrying kerosene oil through her kitchen one afternoon, she slips and spills the oil, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered," """," ""No.""
Madison's insurance company, however, does cover her for the damage caused by the oil. The insurance company's policy states that ""the owner of the property is responsible for the damage caused by the oil.""
Madison's insurance company, however, does not cover the damage caused by the oil. Madison",,-4.993862629,-2.776649952,-1.964150071,-5.401649952,-2.589149952,-2.026649952,-5.651649952,-8.589150429
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison is walking through her kitchen one afternoon, she notices oil dripping from her heater into a puddle, which is damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_covered," """," ""No.""
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater. Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater.
Madison's insurance company, however, does cover the damage caused by the oil leaking from the heater",,-4.908006668,-2.783006668,-2.095506668,-5.220506668,-2.533006668,-2.033006668,-5.720506668,-8.720506668
Escape of Oil I,Yes/No,"Madison has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
As Madison's friend attempts to fix the heater in Madison's kitchen one afternoon, her friend makes a mistake which causes oil to rush out of the heater, damaging her hardwood floors. Madison files a claim with her insurance company for the damage.
Considering just how ""leaking"" would be understood by ordinary speakers of English, is Madison covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",controversial," """," ""No.""
Madison's insurance company, however, does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood floors, and Madison's insurance company does cover the damage to her hardwood",,-4.811640739,-2.811640739,-1.93664062,-5.186640739,-2.686640739,-1.99914062,-5.811640739,-8.624140739
Escape of Oil II,Yes/No,"Mariam has insurance that covers home damage from ""Escape of Oil,"" defined as ""oil leaking from a fixed oil-fired heating installation.""
Mariam has a portable oil lamp in her living room. One night, the lamp cracks and leaks oil onto the carpet. The oil then seeps into the floor and causes significant damage. Mariam files a claim with her insurance company for the damage.
Considering just how ""heating installation"" would be understood by ordinary speakers of English, is Mariam covered by the insuranceï¿½ï¿½ï¿½yes or no? Final answ",unambiguous_uncovered," """," ""No.""
Mariam's insurance company, however, does cover the damage caused by the oil lamp. The company's policy states that ""the owner of the oil lamp shall be responsible for the cost of repairing the oil lamp.""
The insurance company's policy also states that ""the owner of the oil lamp shall",,-4.941022873,-3.00670743,-2.00670743,-4.819207191,-2.50670743,-2.00670743,-5.569207191,-8.631707191
